,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
1,ONDS,Reisfield Derek,Director,"Jun 15, 2021",$8.35,5000,41750,29314,"Jun 17, 2021, 08:32 PM",buy
2,AMHG,Pruitt Michael D,CEO,"Jun 17, 2021",$0.57,1250,715,20876,"Jun 17, 2021, 08:19 PM",buy
3,PDSB,Ali-Jackson Kamil,Director,"Jun 15, 2021",$8.50,11764,99994,11764,"Jun 17, 2021, 07:09 PM",buy
4,PDSB,VAN VOORHEES SETH,Chief Financial Officer,"Jun 15, 2021",$8.50,17647,150000,17647,"Jun 17, 2021, 06:52 PM",buy
5,GRTX,West Linda,Director,"Jun 15, 2021",$9.13,10000,91300,40000,"Jun 17, 2021, 06:41 PM",buy
6,RIG,Perestroika,Director,"Jun 16, 2021",$4.20,2000000,8400000,72740354,"Jun 17, 2021, 06:31 PM",buy
7,RIG,Perestroika,Director,"Jun 15, 2021",$4.17,3000000,12510000,70740354,"Jun 17, 2021, 06:31 PM",buy
8,RIG,Mohn Frederik Wilhelm,Director,"Jun 16, 2021",$4.20,2000000,8400000,72740354,"Jun 17, 2021, 06:29 PM",buy
9,RIG,Mohn Frederik Wilhelm,Director,"Jun 15, 2021",$4.17,3000000,12510000,70740354,"Jun 17, 2021, 06:29 PM",buy
10,ASAN,Moskovitz Dustin A.,"President, CEO, & Chair","Jun 16, 2021",$49.64,160000,7943101,2350000,"Jun 17, 2021, 06:08 PM",buy
11,ASAN,Moskovitz Dustin A.,"President, CEO, & Chair","Jun 15, 2021",$46.56,160000,7449354,2190000,"Jun 17, 2021, 06:08 PM",buy
12,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 15, 2021",$1.60,1990,3184,10763121,"Jun 17, 2021, 05:04 PM",buy
13,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 16, 2021",$1.60,500,800,10763621,"Jun 17, 2021, 05:04 PM",buy
14,IGR,Stam Heidi,Director,"Jun 16, 2021",$8.95,2794,25006,10820,"Jun 17, 2021, 04:44 PM",buy
15,GEO,ZOLEY GEORGE C,Chairman & CEO,"Jun 15, 2021",$6.75,166644,1124047,3000000,"Jun 17, 2021, 04:40 PM",buy
16,NNBR,Veltman Warren A,President and CEO,"Jun 17, 2021",$7.05,20000,141000,213624,"Jun 17, 2021, 04:34 PM",buy
17,ALZN,AULT MILTON C III,10% Owner,"Jun 15, 2021",$5.00,2000000,10000000,5094555,"Jun 17, 2021, 04:31 PM",buy
18,CTHR,SYKES OLLIN B,Director,"Jun 16, 2021",$2.65,10000,26500,1371000,"Jun 17, 2021, 04:30 PM",buy
