,0
A  A,wireless-telecommunications
B  B,wholesale-distributors
CCO,advertising-marketing-services
C  C,wholesale-distributors
E  E,wholesale-distributors
GRPN,advertising-marketing-services
I  I,telecommunications-equipment
ICLK,advertising-marketing-services
IPG,advertising-marketing-services
L  L,wholesale-distributors
M  M,water-utilities
NCMI,advertising-marketing-services
NLSN,advertising-marketing-services
OMC,advertising-marketing-services
Q  Q,services-to-the-health-industry
S  S,wireless-telecommunications
T  T,wireless-telecommunications
TTD,advertising-marketing-services
WPP,advertising-marketing-services
AIR,aerospace-defense
AJRD,aerospace-defense
ASTC,aerospace-defense
AVAV,aerospace-defense
AXON,aerospace-defense
BA,aerospace-defense
CW,aerospace-defense
D  D,wholesale-distributors
ERJ,aerospace-defense
ESE,aerospace-defense
ESLT,aerospace-defense
GD,aerospace-defense
HEI,aerospace-defense
HEI.,aerospace-defense
HII,aerospace-defense
H  H,wholesale-distributors
HXL,aerospace-defense
KAMN,aerospace-defense
KTOS,aerospace-defense
K  K,wholesale-distributors
LHX,aerospace-defense
LMT,aerospace-defense
MAXR,aerospace-defense
MOG.,aerospace-defense
MSI,aerospace-defense
NOC,aerospace-defense
P  P,wireless-telecommunications
R  R,trucks-construction-farm-machinery
RTX,aerospace-defense
SPCE,aerospace-defense
SPR,aerospace-defense
TDG,aerospace-defense
TDY,aerospace-defense
TXT,aerospace-defense
UAVS,aerospace-defense
ACB,agricultural-commodities-milling
ADM,agricultural-commodities-milling
AGRO,agricultural-commodities-milling
BG,agricultural-commodities-milling
CGC,agricultural-commodities-milling
CRON,agricultural-commodities-milling
CSAN,agricultural-commodities-milling
DAR,agricultural-commodities-milling
ELAN,agricultural-commodities-milling
HEXO,agricultural-commodities-milling
IBA,agricultural-commodities-milling
INGR,agricultural-commodities-milling
LND,agricultural-commodities-milling
MGPI,agricultural-commodities-milling
O  O,wireless-telecommunications
SNDL,agricultural-commodities-milling
TLRY,agricultural-commodities-milling
VFF,agricultural-commodities-milling
V  V,wholesale-distributors
AAWW,air-freight-couriers
BEST,air-freight-couriers
CHRW,air-freight-couriers
CYRX,air-freight-couriers
EXPD,air-freight-couriers
FDX,air-freight-couriers
FWRD,air-freight-couriers
HUBG,air-freight-couriers
UPS,air-freight-couriers
ZTO,air-freight-couriers
AAL,airlines
ALGT,airlines
ALK,airlines
ATSG,airlines
AZUL,airlines
CEA,airlines
CPA,airlines
DAL,airlines
GOL,airlines
HA,airlines
JBLU,airlines
LUV,airlines
RYAA,airlines
SAVE,airlines
SKYW,airlines
UAL,airlines
U  U,trucking
ZNH,airlines
AY,alternative-power-generation
BIP,alternative-power-generation
CWEN,alternative-power-generation
J  J,wholesale-distributors
NEP,alternative-power-generation
ORA,alternative-power-generation
RUN,alternative-power-generation
AA,aluminum
ACH,aluminum
ARNC,aluminum
KALU,aluminum
VEDL,aluminum
CAL,apparel-footwear
COLM,apparel-footwear
CROX,apparel-footwear
DECK,apparel-footwear
F  F,wholesale-distributors
GES,apparel-footwear
GIII,apparel-footwear
GIL,apparel-footwear
GOOS,apparel-footwear
HBI,apparel-footwear
NAKD,apparel-footwear
NKE,apparel-footwear
OXM,apparel-footwear
PVH,apparel-footwear
SHOO,apparel-footwear
SKX,apparel-footwear
TBLT,apparel-footwear
UAA,apparel-footwear
VFC,apparel-footwear
VRA,apparel-footwear
WWW,apparel-footwear
X  X,semiconductors
AEO,apparel-footwear-retail
ANF,apparel-footwear-retail
BURL,apparel-footwear-retail
CPRI,apparel-footwear-retail
CRI,apparel-footwear-retail
DBI,apparel-footwear-retail
FL,apparel-footwear-retail
GPS,apparel-footwear-retail
JILL,apparel-footwear-retail
JWN,apparel-footwear-retail
LB,apparel-footwear-retail
LULU,apparel-footwear-retail
MOGU,apparel-footwear-retail
PLCE,apparel-footwear-retail
RL,apparel-footwear-retail
ROST,apparel-footwear-retail
SFIX,apparel-footwear-retail
TJX,apparel-footwear-retail
TPR,apparel-footwear-retail
URBN,apparel-footwear-retail
Z  Z,steel
ADNT,auto-parts-oem
ALV,auto-parts-oem
APTV,auto-parts-oem
AXL,auto-parts-oem
AYRO,auto-parts-oem
DAN,auto-parts-oem
GNTX,auto-parts-oem
GTX,auto-parts-oem
LAZR,auto-parts-oem
LEA,auto-parts-oem
LI,auto-parts-oem
MGA,auto-parts-oem
MTOR,auto-parts-oem
TEN,auto-parts-oem
THRM,auto-parts-oem
VC,auto-parts-oem
VNE,auto-parts-oem
WKHS,auto-parts-oem
DORM,automotive-aftermarket
GT,automotive-aftermarket
LKQ,automotive-aftermarket
ABEV,beverages-alcoholic
BF.A,beverages-alcoholic
BF.B,beverages-alcoholic
BUD,beverages-alcoholic
CCU,beverages-alcoholic
DEO,beverages-alcoholic
NBEV,beverages-alcoholic
SAM,beverages-alcoholic
STZ,beverages-alcoholic
STZ.,beverages-alcoholic
TAP,beverages-alcoholic
TAP.,beverages-alcoholic
W  W,wholesale-distributors
AKO.,beverages-non-alcoholic
CCEP,beverages-non-alcoholic
CELH,beverages-non-alcoholic
COKE,beverages-non-alcoholic
FIZZ,beverages-non-alcoholic
FMX,beverages-non-alcoholic
KDP,beverages-non-alcoholic
KO,beverages-non-alcoholic
KOF,beverages-non-alcoholic
MNST,beverages-non-alcoholic
PEP,beverages-non-alcoholic
PRMW,beverages-non-alcoholic
ABIO,biotechnology
ABUS,biotechnology
ACAD,biotechnology
ACHV,biotechnology
ADMA,biotechnology
AEZS,biotechnology
AGEN,biotechnology
AGIO,biotechnology
AIM,biotechnology
AKBA,biotechnology
ALEC,biotechnology
ALKS,biotechnology
ALLO,biotechnology
ALNY,biotechnology
ALT,biotechnology
ALXN,biotechnology
AMGN,biotechnology
ANAB,biotechnology
APTO,biotechnology
AQB,biotechnology
ARNA,biotechnology
ARWR,biotechnology
ATNM,biotechnology
ATRA,biotechnology
BCRX,biotechnology
BFRA,biotechnology
BGNE,biotechnology
BIIB,biotechnology
BLU,biotechnology
BLUE,biotechnology
BMRN,biotechnology
BNGO,biotechnology
BPMC,biotechnology
BTAI,biotechnology
CAPR,biotechnology
CBAY,biotechnology
CGEN,biotechnology
CLVS,biotechnology
CODX,biotechnology
CRBP,biotechnology
CRSP,biotechnology
DNLI,biotechnology
DVAX,biotechnology
EARS,biotechnology
EDIT,biotechnology
ENTA,biotechnology
FOX,broadcasting
FOXA,broadcasting
G  G,wireless-telecommunications
GTN.,broadcasting
NXST,broadcasting
SBGI,broadcasting
SIRI,broadcasting
SSP,broadcasting
TGNA,broadcasting
TV,broadcasting
UONE,broadcasting
VIAC,broadcasting
ALLE,building-products
AMWD,building-products
AOS,building-products
AWI,building-products
BLD,building-products
BLDR,building-products
DOOR,building-products
FBHS,building-products
LII,building-products
MAS,building-products
N  N,wholesale-distributors
SSD,building-products
WSO,building-products
AMCX,cable-satellite-tv
ATUS,cable-satellite-tv
CABO,cable-satellite-tv
CHTR,cable-satellite-tv
CMCS,cable-satellite-tv
DIS,cable-satellite-tv
DISC,cable-satellite-tv
DISH,cable-satellite-tv
LBRD,cable-satellite-tv
LBTY,cable-satellite-tv
LILA,cable-satellite-tv
NFLX,cable-satellite-tv
SJR,cable-satellite-tv
BYD,casinos-gaming
CHDN,casinos-gaming
CZR,casinos-gaming
EVRI,casinos-gaming
GRVY,casinos-gaming
IGT,casinos-gaming
LVS,casinos-gaming
MGM,casinos-gaming
MLCO,casinos-gaming
MSC,casinos-gaming
PENN,casinos-gaming
SGMS,casinos-gaming
WYNN,casinos-gaming
Y  Y,water-utilities
CF,chemicals-agricultural
FMC,chemicals-agricultural
ICL,chemicals-agricultural
LAC,chemicals-agricultural
MOS,chemicals-agricultural
NTR,chemicals-agricultural
SMG,chemicals-agricultural
SQM,chemicals-agricultural
YTEN,chemicals-agricultural
CE,chemicals-major-diversified
DD,chemicals-major-diversified
EMN,chemicals-major-diversified
ESI,chemicals-major-diversified
HUN,chemicals-major-diversified
NGVT,chemicals-major-diversified
VVV,chemicals-major-diversified
WLK,chemicals-major-diversified
